,School Name,% Grads,tier,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black or African American Students [Public School] 2015-16,White Students [Public School] 2015-16,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16
760,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,84.684685,High,,,,,,,,
762,HIGH SCHOOL FOR ARTS AND BUSINESS,93.64162,High,2.0,78.0,631.0,75.0,30.0,,2.0,818.0
764,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AN",98.42519,High,,,,,,,,
766,MASPETH HIGH SCHOOL,98.47328,High,1.0,174.0,432.0,20.0,360.0,,15.0,1002.0
768,QUEENS TECHNICAL HIGH SCHOOL,85.88957,High,,,,,,,,
770,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,98.86621,High,,,,,,,,
772,VOYAGES PREPARATORY,6.8627453,Low,0.0,21.0,146.0,42.0,13.0,,1.0,223.0
774,VERITAS ACADEMY,85.211266,High,1.0,74.0,213.0,57.0,49.0,,16.0,410.0
776,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,92.45283,High,2.0,180.0,73.0,29.0,5.0,,5.0,294.0
778,"QUEENS SCHOOL OF INQUIRY, THE",98.82353,High,,,,,,,,
780,FLUSHING INTERNATIONAL HIGH SCHOOL,83.13253,High,4.0,245.0,165.0,10.0,8.0,,0.0,432.0
782,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,97.916664,High,1.0,452.0,120.0,68.0,30.0,,8.0,679.0
784,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,95.0,High,,,,,,,,
786,JOHN BOWNE HIGH SCHOOL,77.25714,Med/High,26.0,976.0,1679.0,667.0,178.0,,43.0,3569.0
788,FLUSHING HIGH SCHOOL,77.28459,Med/High,22.0,354.0,1011.0,421.0,64.0,,0.0,1872.0
790,TOWNSEND HARRIS HIGH SCHOOL,99.65753,High,11.0,662.0,138.0,65.0,246.0,,10.0,1132.0
792,QUEENS ACADEMY HIGH SCHOOL,15.923567,Low,5.0,43.0,143.0,141.0,23.0,,3.0,358.0
794,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,84.946236,High,,,,,,,,
796,NORTH QUEENS COMMUNITY HIGH SCHOOL,13.793103,Low,2.0,25.0,66.0,72.0,23.0,,0.0,188.0
798,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,98.14815,High,2.0,49.0,51.0,71.0,19.0,,16.0,208.0
800,BENJAMIN N. CARDOZO HIGH SCHOOL,92.59259,High,,,,,,,,
802,FRANCIS LEWIS HIGH SCHOOL,92.0071,High,30.0,2317.0,969.0,297.0,642.0,,35.0,4290.0
804,MARTIN VAN BUREN HIGH SCHOOL,85.36585,High,59.0,418.0,207.0,745.0,56.0,,21.0,1506.0
806,BAYSIDE HIGH SCHOOL,99.04,High,,,,,,,,
808,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND T",94.84127,High,,,,,,,,
810,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,52.427185,Medium,3.0,5.0,132.0,231.0,3.0,,1.0,375.0
812,VOYAGES PREP - SOUTH QUEENS,39.82301,Med/Low,,,,,,,,
814,CHANNEL VIEW SCHOOL FOR RESEARCH,100.0,High,9.0,54.0,209.0,361.0,98.0,,3.0,734.0
816,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND",85.07462,High,,,,,,,,
818,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ART,95.27027,High,,,,,,,,
820,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,69.09091,Med/High,,,,,,,,
822,EPIC HIGH SCHOOL - SOUTH,73.73737,Med/High,,,,,,,,
824,SCHOLARS' ACADEMY,97.82609,High,12.0,271.0,230.0,250.0,540.0,,3.0,1306.0
826,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,68.57143,Med/High,,,,,,,,
828,EPIC HIGH SCHOOL - NORTH,76.92308,Med/High,,,,,,,,
830,ROCKAWAY COLLEGIATE HIGH SCHOOL,77.64706,Med/High,6.0,20.0,132.0,198.0,13.0,,17.0,386.0
832,AUGUST MARTIN HIGH SCHOOL,91.358025,High,11.0,42.0,62.0,360.0,2.0,,6.0,483.0
834,RICHMOND HILL HIGH SCHOOL,70.77625,Med/High,25.0,648.0,944.0,233.0,92.0,,15.0,1957.0
836,JOHN ADAMS HIGH SCHOOL,81.623276,High,109.0,757.0,849.0,565.0,71.0,,13.0,2364.0
838,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING A",98.4556,High,,,,,,,,
840,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,98.07692,High,26.0,140.0,326.0,148.0,167.0,,21.0,828.0
842,YORK EARLY COLLEGE ACADEMY,97.61905,High,34.0,182.0,61.0,320.0,9.0,,14.0,620.0
844,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,81.13207,High,,,,,,,,
846,HILLSIDE ARTS & LETTERS ACADEMY,92.72727,High,,,,,,,,
848,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,95.14563,High,15.0,109.0,115.0,174.0,19.0,,13.0,445.0
850,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,15.909091,Low,9.0,9.0,31.0,69.0,7.0,,0.0,125.0
852,JAMAICA GATEWAY TO THE SCIENCES,89.51613,High,15.0,203.0,51.0,222.0,10.0,,9.0,510.0
