,School Name,% Grads,tier,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black or African American Students [Public School] 2015-16,White Students [Public School] 2015-16,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16
854,FOREST HILLS HIGH SCHOOL,91.08138,High,30.0,956.0,1296.0,344.0,1130.0,,85.0,3841.0
856,HILLCREST HIGH SCHOOL,74.93917,Med/High,98.0,1070.0,1027.0,970.0,145.0,,10.0,3320.0
858,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HI,94.41118,High,,,,,,,,
860,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,96.73913,High,26.0,341.0,77.0,256.0,22.0,,4.0,726.0
862,QUEENS METROPOLITAN HIGH SCHOOL,90.27778,High,10.0,113.0,482.0,46.0,399.0,,9.0,1059.0
864,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,100.0,High,,,,,,,,
866,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,84.81013,High,,,,,,,,
868,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",98.59155,High,,,,,,,,
870,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,92.8,High,,,,,,,,
872,QUEENS PREPARATORY ACADEMY,84.26966,High,2.0,18.0,41.0,375.0,5.0,,19.0,460.0
874,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,93.44262,High,,,,,,,,
876,EXCELSIOR PREPARATORY HIGH SCHOOL,89.147285,High,,,,,,,,
878,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,78.57143,Med/High,,,,,,,,
880,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,83.870964,High,,,,,,,,
882,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM,84.81013,High,,,,,,,,
884,CAMBRIA HEIGHTS ACADEMY,87.5,High,11.0,24.0,40.0,311.0,5.0,,13.0,404.0
886,EAGLE ACADEMY FOR YOUNG MEN III,96.36364,High,15.0,6.0,16.0,426.0,13.0,,16.0,492.0
888,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNE",69.49152,Med/High,,,,,,,,
890,HUMANITIES & ARTS MAGNET HIGH SCHOOL,82.291664,High,,,,,,,,
892,ENERGY TECH HIGH SCHOOL,90.38461,High,3.0,72.0,160.0,31.0,51.0,,16.0,333.0
894,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",100.0,High,,,,,,,,
896,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.48485,High,3.0,34.0,293.0,86.0,109.0,,20.0,545.0
898,WILLIAM CULLEN BRYANT HIGH SCHOOL,83.934425,High,21.0,649.0,1238.0,153.0,384.0,,19.0,2464.0
900,LONG ISLAND CITY HIGH SCHOOL,83.53553,High,17.0,338.0,1269.0,268.0,140.0,,24.0,2056.0
902,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,97.849464,High,4.0,92.0,278.0,114.0,292.0,,50.0,830.0
904,INFORMATION TECHNOLOGY HIGH SCHOOL,81.55738,High,14.0,189.0,534.0,136.0,86.0,,6.0,965.0
906,NEWCOMERS HIGH SCHOOL,81.349205,High,1.0,265.0,526.0,19.0,59.0,,0.0,870.0
908,ACADEMY OF AMERICAN STUDIES,97.594505,High,1.0,256.0,298.0,70.0,262.0,,8.0,895.0
910,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,96.25,High,4.0,239.0,72.0,10.0,151.0,,11.0,487.0
912,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,98.4127,High,3.0,55.0,100.0,32.0,263.0,,42.0,495.0
914,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,94.318184,High,0.0,17.0,83.0,57.0,291.0,,19.0,467.0
916,THE MICHAEL J. PETRIDES SCHOOL,91.818184,High,,,,,,,,
918,NEW DORP HIGH SCHOOL,87.434555,High,10.0,201.0,816.0,355.0,1436.0,,62.0,2880.0
920,PORT RICHMOND HIGH SCHOOL,74.88789,Med/High,3.0,96.0,661.0,397.0,315.0,,10.0,1482.0
922,CURTIS HIGH SCHOOL,75.63884,Med/High,22.0,168.0,931.0,939.0,411.0,,52.0,2523.0
924,TOTTENVILLE HIGH SCHOOL,96.89119,High,14.0,199.0,490.0,73.0,3089.0,,49.0,3914.0
926,SUSAN E. WAGNER HIGH SCHOOL,89.23077,High,,,,,,,,
928,CONCORD HIGH SCHOOL,18.84058,Low,1.0,2.0,57.0,39.0,31.0,,3.0,133.0
930,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH,76.88442,Med/High,,,,,,,,
932,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.7076,High,2.0,543.0,55.0,19.0,656.0,,3.0,1278.0
934,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH,85.2459,High,,,,,,,,
936,ACADEMY FOR EXCELLENCE IN LEADERSHIP,85.07462,High,,,,,,,,
938,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,88.97638,High,,,,,,,,
940,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,82.02247,High,,,,,,,,
942,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,92.5,High,,,,,,,,
944,ALL CITY LEADERSHIP SECONDARY SCHOOL,100.0,High,1.0,23.0,297.0,44.0,19.0,,1.0,385.0
946,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,81.355934,High,,,,,,,,
948,BUSHWICK COMMUNITY HIGH SCHOOL,26.43678,Med/Low,0.0,1.0,132.0,64.0,4.0,,0.0,201.0
